B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Sex,Use
2,1,4,3,13,7,15,11,14,12,6,7,5,10,9,1,1
2,1,4,3,8,11,14,7,12,10,6,5,9,14,13,1,1
2,1,4,3,8,13,11,7,10,9,6,5,12,14,15,1,1
3,2,6,4,13,1,10,12,14,14,10,7,9,8,5,1,1
6,5,8,6,15,1,9,13,13,12,9,11,3,4,2,1,1
11,10,14,8,9,1,5,13,7,6,11,15,4,3,2,1,1
2,1,4,3,8,15,12,7,10,9,6,5,11,13,14,1,1
14,13,11,15,7,1,5,10,6,8,11,9,4,3,2,2,1
2,1,4,3,8,13,12,7,10,9,6,5,11,13,15,2,1
13,15,12,13,7,1,5,10,6,8,11,9,4,3,2,2,1
14,13,15,10,8,1,5,11,6,7,11,9,4,3,2,2,1
2,1,4,4,10,6,9,7,13,15,11,3,14,12,8,2,1
7,5,10,6,13,1,8,15,11,9,12,14,3,4,2,2,1
2,1,5,3,9,8,10,6,11,13,7,3,15,14,11,2,1
3,2,6,1,14,12,15,9,10,7,5,12,4,8,11,1,2
3,2,6,1,13,9,11,9,14,7,5,8,4,11,15,1,2
3,2,5,1,10,9,7,11,13,12,6,4,8,15,14,1,2
5,3,11,2,9,1,3,13,14,14,10,6,7,12,8,1,2
4,2,6,1,15,7,11,13,13,8,5,12,3,9,10,1,2
4,3,11,1,13,4,9,15,12,10,6,14,2,6,8,1,2
3,2,6,1,12,15,13,8,11,7,5,9,4,10,14,1,2
15,14,11,13,5,1,2,8,6,10,12,3,9,7,4,2,2
3,2,6,1,12,14,13,9,11,7,5,8,4,10,15,2,2
13,14,11,15,5,1,2,8,6,9,12,4,10,7,3,2,2
10,9,15,6,7,1,2,13,11,12,13,5,4,8,3,2,2
12,10,8,8,4,1,2,6,7,13,13,3,15,10,5,2,2
4,2,9,1,15,6,11,14,12,8,5,13,3,7,10,2,2
9,8,11,7,4,1,2,6,9,14,13,3,15,12,5,2,2
