"Respondents","score1","score2","preference"
1,0.332941074165693,-0.268455561011642,1
2,-0.107085175914043,0.572659336385206,1
3,0.155603399226274,0.10803415378121,1
4,-0.20466240802599,0.359924510889231,1
5,0.482444086356749,-0.28145352933493,1
6,0.47229865390168,-0.0200162494769754,1
7,0.453547199459376,-0.0548522608974526,1
8,0.651802772256721,0.174794652279613,1
9,-0.514345714561192,0.392994532461806,1
10,-0.229542523694673,0.0712936442357151,1
11,0.50352263087219,-0.443239800790896,1
12,-0.701353592029545,0.66134431596683,1
13,0.014198098296001,-0.162547696088938,1
14,0.0545346427607275,-0.278996164092452,1
15,0.333351957383522,-0.121435552738586,1
16,-0.615889713371088,-0.0859852100696345,1
17,0.136934380036756,-0.105567761185676,1
18,0.413928746363766,-0.10300680873857,1
19,0.0874804189879149,-0.129951369256111,1
20,0.138801846113326,-0.451294683402956,1
21,-0.266361348305132,0.306036189949079,1
22,0.283488185695632,-0.182025696813733,1
23,0.343482777602522,-0.247766942385449,1
24,0.718773785293124,-0.314870434684975,1
25,-0.863808647921847,0.0567160210961595,1
26,-0.792701326496925,0.573302708245154,1
27,1,0.0436360898155631,1
28,0.0141946344058045,-0.173958266368898,1
29,-0.988202235076739,0.347711778049988,1
30,0.0358925914479519,0.311907664129493,1
31,0.638114548641879,-0.616059910942144,1
32,0.00285202432730541,-0.597982860560361,1
33,0.381557663699413,-0.111850238859454,1
34,-0.00552462089360296,0.129982714879304,1
35,-0.271915953628734,0.307250163197459,1
36,-0.316188408965717,-0.611141490298164,1
37,0.998558900773022,-0.496086815999788,1
38,0.220034892513497,0.425933467860705,1
39,0.119429795127702,0.0517480991015678,1
40,0.266177830480307,0.322861197581141,1
41,0.552975206721329,-0.241502615204044,1
42,0.496146027533779,-1,1
43,-0.593168788298499,-0.172474233386838,1
44,0.222853915857547,0.374918867227327,1
45,-0.088723377294027,0.636357639666219,1
46,0.157355795736577,-0.22878949381069,1
47,0.223528360841572,-0.186321513587861,1
48,-0.583661593594291,0.453283536645645,1
49,-0.150748361808583,0.61880714072178,1
50,-0.394735989354909,0.639252506097334,1
